,author,comment,published_time
189,Chrisfrrr,16:40 “There’s a ninja among us! 🤓☝️” Josh cracking up Vikk here 😂,2023-12-26T08:12:13Z
190,MotoGPForever4527,I live for Lannan’s hatred of Danny lmao,2023-12-26T07:07:33Z
191,defect.produckt,lazar literally said he was imposter🤣,2023-12-24T15:03:19Z
192,ryanlord6546,The last round = best round of Sidemen Among Us ever,2023-12-22T20:58:17Z
193,shizedits7931,It’s the first time Dejis swiped for the first time because he never does tasks,2023-12-22T13:47:31Z
194,akumaYK.,"19:22 had me dead deji's ""OH SHI"" 🤣🤣🤣🤣",2023-12-14T12:08:35Z
195,Nomorethenless,What was the song at the end of the video,2023-12-13T02:14:38Z
196,Yehdtsjvdy,Oh that’s the key to a good lazarbeam video a few beers 🍻 😂,2023-12-12T20:14:15Z
197,Si...2....._____,from deji to dojjy to dujy to digy his name is constantly changing,2023-12-10T14:54:05Z
198,rLxJake,Every time I hear “throwby” I absolutely cry 😂,2023-12-10T02:51:10Z
199,randomvids6749,porn,2023-12-06T19:33:10Z
200,GHOSTRIDER-ol3ne,1.2k likes? Something’s wrong 😭,2023-12-06T00:59:43Z
201,deleted_acoount_0530,18:05 Deji did a mad ting,2023-12-04T21:18:16Z
202,Vballcoach25,So does Lazer beam and lachlin live together?,2023-12-04T06:29:09Z
203,kgrsentertainmentchannel7092,25:17,2023-12-02T21:45:36Z
204,louisbaker4362,25:10 the Oblivion NPC stare.,2023-12-02T08:34:05Z
205,angadsinghgill8602,10:19 Am Board 🔳,2023-12-02T08:02:38Z
206,LewisMacdonald-vj3hb,Lazar perfectly timed it so that he could kill Simon but Devi couldn’t see it on cams,2023-12-01T23:05:48Z
207,donyeawalker8957,"Danny: ""F your life""
Me: bing bong💀😭😭😭",2023-12-01T15:40:33Z
208,Colt2OO2,"This episode wasn't done in a Sidemen Among Us lobby, this was Lannan's world and they were just living in it as his puppets. Man read the room like a book and used the low IQ to fiddle with everyone to the point where even his fellow countryman wasn't safe from his shenanigans, what a legend the Beam is",2023-12-01T11:15:00Z
209,jukesxd,that camera stuff was soooo fake,2023-11-29T23:34:07Z
210,RajSharma-ct8bj,"Ethan said it right, lazer is always jokes 😂",2023-11-28T22:47:45Z
211,cjmq0o,0:42 All Of You who own Beats Headphones just got Pranked,2023-11-28T22:28:14Z
212,jasonolafami4528,Lazarbeam cooked this video,2023-11-28T22:22:02Z
213,lyndseystrait1513,"😂Wow. Lazar got a well-deserved spotlight all 3 games, and the camera stunt was absolutely hilarious (although I wish Lachy and Toby would have gotten a full round without Lazar interrupting it bc they would have made a good impostor duo). Very funny and very well-placed kills all 3 rounds (especially the last ninja kill of the second game). Great impostor role and mod!",2023-11-28T20:08:46Z
214,carta4,The editing on lachys phone at 3:53  is too good,2023-11-28T14:15:50Z
215,tables8489,20:44 gyah. Deji is a perfect fit for Sidemen Among Us. I'm so glad he's doing these vids 😂😂,2023-11-28T05:37:39Z
216,SneaKy-s6f,Is no one gonna talk about the crazy segue to introducing lux,2023-11-27T21:27:50Z
217,jclark277,get rid of callux,2023-11-27T19:28:38Z
218,ma.1749,I love among us episodes,2023-11-27T19:12:11Z
219,Retr0Danny25,Dodji Deeji what will the Sidemen Think of NEXT for Deji Dadji Jodji,2023-11-26T20:16:51Z
220,Acrientz,3:52 I’m sorry tf is Lachlan watching?,2023-11-26T16:30:01Z
221,Jerry.anthony.c,22:50 - Famous last words 😂😂,2023-11-25T22:30:52Z
222,lmalupo,Deji getting excited over a card swipe for first time and got an achievement just gets me 😂,2023-11-25T04:01:35Z
223,lmalupo,Wtf does “L” and “D” mean?,2023-11-25T03:58:52Z
224,mariast7218,Lannan is amazing,2023-11-24T04:17:45Z
225,indigokhan897,"Who saw Ethan pick his nose 
👇",2023-11-21T16:12:41Z
226,a02dhairyarita92,Lannan carried the whole vid,2023-11-21T08:46:35Z
227,arianicholas9552,19:09 such a big brain moment for lazar even tho it wasn't on purpose,2023-11-21T04:18:05Z
228,cjmq0o,0:43 Anybody thought that sound was their headset's battery?,2023-11-21T02:02:31Z
229,AlexaurR,"I loved the part when the spy said ""it's spying time"" and spied all over the place",2023-11-20T20:39:25Z
230,graciegaydon9947,editors had me thibking my airpods died when they put the sound effect of dejis camera dying 😭,2023-11-20T15:28:14Z
231,nabey1,"""On my life"" - Danny has gotta be a cat with all those lives he keeps losing, swearing he knows who it is.....",2023-11-19T04:34:30Z
232,nabey1,30-year-old Vik asking if Tobi pinky promises...... wow.,2023-11-18T18:07:51Z
233,bruhmoment8624,This is probably the greatest sidemen among us video of all time its up there,2023-11-15T07:50:36Z
234,nikolajqb6404,12:25 man vik’s a true friend,2023-11-14T20:01:14Z
235,nikolajqb6404,"10:04 to 10:17 
That talk from lazer tho😂",2023-11-14T19:57:45Z
236,jaireshsenthil28,6:23 theritha?😂,2023-11-13T01:05:01Z
237,iJess97,Lachlan spotting the camera like 👁👄👁,2023-11-11T13:05:49Z
238,project-arlo,don't you love when someone ruins your game?,2023-11-10T17:58:26Z
239,RashidT1,Bro tht say KSI's laugh is contagious... Well let me prove them wrong by saying DEJI'S LAUGH IS EVEN MORE CONTAGIOUS Y'ALL!!! Go to 3:32 for proof lol,2023-11-07T16:45:41Z
240,enriqueportillo5270,In this video you see why Simon ranked Callix last,2023-11-07T10:37:15Z
241,sarasanderson5395,I have no idea why Laughlan and laserbeam share offices,2023-11-06T17:05:45Z
